,Task,Buffer,TestCase,SVAR,Def-Use,Plnv
0,2.0,2.0,1.0,0.07692307692307693,0.2222222222222222,0.2727272727272727
1,20.0,2.0,34.0,0.22912658714890344,0.07544581618655692,0.5756948551153164
2,4.0,2.0,9.0,0.3387096774193548,0.3888888888888889,0.676923076923077
3,6.0,2.0,9.0,0.25970873786407767,0.2222222222222222,0.5915492957746479
4,8.0,2.0,9.0,0.1954177897574124,0.1322314049586777,0.5039840637450199
5,10.0,2.0,24.0,0.2227342549923195,0.14285714285714285,0.5920745920745921
6,12.0,2.0,24.0,0.23089519650655022,0.11764705882352941,0.5852649006622517
7,14.0,2.0,24.0,0.20113544201135442,0.0886426592797784,0.532059186189889
8,16.0,2.0,24.0,0.1692936368943374,0.07024793388429752,0.5058400718778078
9,18.0,2.0,24.0,0.18051643192488262,0.06333333333333334,0.5082972582972582
