3,18626380,recv,1
3,18626528,recv,2
1,18626528,recv,1
7,18626528,recv,1
5,18626380,recv,1
9,18626380,recv,1
9,18626528,recv,2
11,18626380,recv,1
3,18626528,recv,3
1,18626380,recv,2
7,18626380,recv,2
5,18626380,recv,2
5,18626528,recv,3
9,18626528,recv,3
11,18626380,recv,2
11,18626528,recv,3
3,18626380,recv,4
1,18626380,recv,3
1,18626528,recv,4
7,18626380,recv,3
7,18626528,recv,4
5,18626528,recv,4
9,18626380,recv,4
11,18626528,recv,4
3,18626380,recv,5
3,18626528,recv,6
1,18626528,recv,5
7,18626528,recv,5
5,18626380,recv,5
9,18626380,recv,5
9,18626528,recv,6
11,18626380,recv,5
