,ID,Thread,Port,Event,Index,cstruct
502,r503,T1,9688008,recv,7,"['r3', 's46', 's45', 's10', 's36', 's27', 's54', 's28', 's37', 's63', 's19', 'r186', 'r189', 'r501', 's1', 'r194', 'r498', 's9', 's18']"
503,r504,T2,9688008,recv,7,"['s29', 's38', 's46', 's10', 'r4', 'r245', 's20', 's47', 's28', 's55', 's64', 's37', 's2', 's19', 'r499', 'r496', 's11', 's1', 's4', 'r248', 'r502']"
504,r505,T4,9688008,recv,6,"['s38', 's29', 'r500', 'r497', 'r495', 's20', 's11', 's2', 's56', 's65', 's45', 'r494', 's47', 'r9', 's9', 's36', 's27', 's18']"
505,r506,T1,9688008,recv,8,"['r3', 's46', 's45', 's10', 's36', 's27', 's54', 's28', 's3', 's37', 's63', 's19', 'r186', 'r189', 'r501', 's1', 'r194', 'r498', 'r503', 's9', 's18']"
506,r507,T2,9688008,recv,8,"['s29', 's38', 's46', 's10', 'r4', 'r245', 's20', 's47', 's28', 's55', 's64', 's37', 's2', 's19', 'r504', 'r499', 'r496', 's11', 's1', 's4', 'r248', 'r502']"
507,r508,T4,9688008,recv,7,"['s29', 's38', 's45', 's36', 's27', 's20', 's56', 'r494', 's47', 'r497', 'r495', 's2', 's65', 'r500', 's11', 'r9', 'r505', 's9', 's18']"
508,r509,T4,9688008,recv,2,"['r9', 's9', 's36', 's27', 's18']"
509,r510,T2,9688008,recv,3,"['s29', 's38', 's20', 's11', 's2', 'r218', 'r4']"
510,r511,T4,9688008,recv,3,"['r509', 's27', 'r9', 's36', 's9', 's18']"
511,r512,T1,9688008,recv,4,"['r3', 's63', 's1', 's19', 's54', 's45', 'r103', 's28', 's10', 's9', 's36', 's27', 's18', 'r107']"
512,r513,T2,9688008,recv,4,"['s29', 's38', 's20', 's11', 's1', 's2', 's46', 's19', 's28', 's10', 'r510', 's55', 'r218', 'r4', 's64', 's37']"
513,r514,T4,9688008,recv,4,"['r509', 'r511', 'r9', 's9', 's36', 's27', 's18']"
514,r515,T1,9688008,recv,5,"['r3', 's63', 'r512', 's1', 'r107', 's46', 's19', 's54', 's45', 'r103', 's28', 's10', 's9', 's36', 's27', 's18', 's37']"
