,Task,Buffer,RACE_SET,SYN,Task,Buffer,RACE_SET,SYN
0,2,2,0,5,2,2,0,5
2,4,2,7,11,4,2,4,11
3,6,2,7,16,6,2,4,16
4,8,2,6,21,8,2,4,21
5,10,2,13,27,10,2,8,27
6,12,2,14,32,12,2,8,32
7,14,2,13,37,14,2,8,37
8,16,2,13,43,16,2,8,43
9,18,2,14,48,18,2,8,48
1,20,2,25,53,20,2,15,53
