,Task,Buffer,RACE_SET,SYN,Task,Buffer,RACE_SET,SYN
0,2,2,0,20,2,2,0,20
2,4,2,18,36,4,2,2,36
3,6,2,18,52,6,2,2,52
4,8,2,18,68,8,2,2,68
5,10,2,18,84,10,2,2,84
6,12,2,39,100,12,2,5,100
7,14,2,184,120,14,2,20,120
8,16,2,132,134,16,2,8,134
9,18,2,202,106,18,2,76,106
1,20,2,130,143,20,2,16,143
