,Task,Buffer,RACE_SET,SYN,Task,Buffer,RACE_SET,SYN
0,2,1,0,8,2,1,0,8
2,4,1,0,16,4,1,0,16
3,6,1,0,24,6,1,0,24
4,8,1,14,32,8,1,2,32
5,10,1,0,32,10,1,0,32
6,12,1,0,48,12,1,0,48
7,14,1,0,56,14,1,0,56
1,15,1,16,26,15,1,4,26
8,16,1,64,50,16,1,10,50
9,18,1,0,22,18,1,0,22
